uuid,avaliacaoRef,idBaseRef,fazendaRef,dtcResponsavelRef,cod_fazenda,nomeFazenda,cidade_nome,estado_sigla,regiao_macro,regiao_micro,safra,epoca,dataPlantioSoja,dataColheitaSoja,latitude,longitude,altitude,nomeResponsavel,nome,dePara,status_material,tipoTeste,indexTratamento,populacao,gm,notaUniformidade,notaDensidade,notaVigor,notaDaninhas,notaPragas,notaDoencas,notaHomogenidade,notaSolo,notaQualidadeInicial,notaMedia
03fa3ad7-3241-4aa5-aae7-75e58e202c6e,50b03656-e985-41e9-ae31-1ba69ff91a1f,ae88eefe-a8d6-43b3-9d06-edb94bfe1f1a,b0787698-f536-40f0-9342-ec7b1c14e62d,2fef9e92-3c2b-45a5-8f3f-2eb28550da94,M2-201-E-24,VALIDAR AGRO,Cascavel,PR,MACRO II,REC 201,2024/25,Safra,2024-09-29,2025-02-07,-24.981677,-53.349748,780,RAQUEL BARTOLOMEU,SC25-4623-2,SC25-4623-2,LINHAGEM,Faixa,29,250,63,4,4,4,1,4,4,5,5,,3.88
040a22fb-c369-4c5d-b949-f9da62385179,3bc7c9a9-c2b7-4b83-86ac-58d09344e186,3108a2c0-3766-4119-b9d5-ba04949be68e,3c622bdd-1b3d-47d2-af2e-8a548d9b375a,2fef9e92-3c2b-45a5-8f3f-2eb28550da94,M2-201-C-24,SÍTIO DOS SONHOS,São Miguel do Iguaçu,PR,MACRO II,REC 201,2024/25,Safra,2024-09-25,2025-01-23,-25.2848,-54.1809,300,RAQUEL BARTOLOMEU,SC25-50-06-2,53KA33 CE,DP2,Faixa,1,250,53,3,3,4,5,5,5,3,5,,4.12
044f26a8-a97b-404d-ab57-1b8167636497,78761a4c-7cbd-4807-a56a-e5dc460706c1,8da9c338-4acc-4c29-8a65-b5c28c87670b,7ad26bed-aa41-4b96-82c9-98dd5df4d60d,b3c863ab-5a70-433e-8f85-d3b2b695e14b,M3-301-B-24,Fortuna,Costa Rica,MS,MACRO III,REC 301,2024/25,Safra,2024-11-02,2025-02-28,-18.4089,-52.9393,860,Luiz Neves,77EA40,77EA40 E,STINE,Faixa,28,300,77,5,4,5,5,5,5,5,5,,4.88
0471db5c-425d-492c-b942-6476dca3307e,c1655687-393b-4aea-96cc-b3cfd90c2f0d,e845803d-c10b-4269-9998-aa41ca74e739,07e0b725-7fd4-4193-9c6b-8087e401ac57,df4e05ad-5053-463d-a3c3-463d00849eb9,M4-405-A-24,Mamona,Correntina,BA,MACRO IV,REC 405,2024/25,Safra,2024-11-12,2025-03-11,0.0,0.0,0,Rafael Ribeiro,NC25-51243-2,NC25-51243-2,LINHAGEM,Faixa,9,300,79,3,3,3,4,1,5,3,5,,3.38
0478f08c-7827-41b1-bf7f-a43b2aa25cf6,0b6f64e8-3e9c-4d9d-ab65-d561f6479a49,ff2d88e6-1052-4d35-8d0d-cfdd599c41fd,ee617d06-0bb2-49b0-aa19-5c14e615cc77,dc5ab980-65ce-4491-9a4b-341e27c4bec3,M4-403-B-24,Panamby,Querência,MT,MACRO IV,REC 403,2024/25,Safra,2024-11-08,,0.0,0.0,0,Maklane Duarte,NC25-96785-6,NC25-96785-6,LINHAGEM,Faixa,5,300,70,3,3,3,4,4,5,3,4,,3.62
048d8ffa-0ff5-4d25-9cc4-81febe409422,8287743c-b3c6-42c6-8934-2fb1f6fc4c40,430f8eea-252f-416a-bab0-975f78945be5,394c0133-b356-40a0-9ce8-8fe7412fb244,589904d8-eb5c-48cc-a8e0-ad3398f7f373,M2-204-A-24,Flor do Cerrado ,Rio Brilhante,MS,MACRO II,REC 204,2024/25,Safra,2024-10-21,2025-02-27,0.0,0.0,0,Luis Tosin ,NC25-57837-6,NC25-57837-6,LINHAGEM,Faixa,38,260,76,4,4,4,3,3,4,4,4,,3.75
0493e108-3a62-4052-bd49-858ca4a957e6,78761a4c-7cbd-4807-a56a-e5dc460706c1,07815001-1909-4722-bd11-fb68c6701cb1,7ad26bed-aa41-4b96-82c9-98dd5df4d60d,b3c863ab-5a70-433e-8f85-d3b2b695e14b,M3-301-B-24,Fortuna,Costa Rica,MS,MACRO III,REC 301,2024/25,Safra,2024-11-02,2025-02-28,-18.4089,-52.9393,860,Luiz Neves,70KA30,70KA30 CE,STINE,Faixa,12,300,70,5,4,5,5,5,5,5,5,,4.88
049538d2-040b-40b4-a550-cd69c90d9bd4,8287743c-b3c6-42c6-8934-2fb1f6fc4c40,94b9fd9e-a233-4548-a8f1-3d0ef67a73c1,394c0133-b356-40a0-9ce8-8fe7412fb244,589904d8-eb5c-48cc-a8e0-ad3398f7f373,M2-204-A-24,Flor do Cerrado ,Rio Brilhante,MS,MACRO II,REC 204,2024/25,Safra,2024-10-21,2025-02-27,0.0,0.0,0,Luis Tosin ,NC25-57837-7,NC25-57837-7,LINHAGEM,Faixa,36,20,74,4,4,4,3,3,4,4,4,,3.75
04a8cbee-d6d3-4980-ab1f-1dc056c573a1,efcd5eb6-036d-4ced-99f6-09e4f276b4a1,11771154-e283-44cc-a3c4-136bfd85957b,c6036815-7d7e-49a4-848c-4d7d8103ffb1,586073f9-041b-4931-9e42-b44975c8b383,M4-401-C-24,Mariana,Campo Verde,MT,MACRO IV,REC 401,2024/25,Safra,2024-10-25,2025-02-21,-15.3624,-55.1638,630,Tamila Ribeiro,NC25-46045-2,NC25-46045-2,LINHAGEM,Faixa,8,300,72,5,0,5,5,4,4,5,5,,4.12
04c125fa-b98e-4b24-9df2-9edc941f688b,3bc7c9a9-c2b7-4b83-86ac-58d09344e186,2c209340-222f-4837-b679-00957a83acdf,3c622bdd-1b3d-47d2-af2e-8a548d9b375a,2fef9e92-3c2b-45a5-8f3f-2eb28550da94,M2-201-C-24,SÍTIO DOS SONHOS,São Miguel do Iguaçu,PR,MACRO II,REC 201,2024/25,Safra,2024-09-25,2025-01-23,-25.2848,-54.1809,300,RAQUEL BARTOLOMEU,SC25-97486-6,60KA32 CE,DP2,Faixa,21,250,61,3,3,3,5,5,5,3,5,,4.0
